Outcome,Mvalue
0,1.17373362291618
1,0.321452532969504
0,2.1617199816452
0,2.23333741953355
1,2.19726768155945
0,2.62852540355282
1,2.29575670163049
1,0.840424932720503
1,0.0631691268806411
0,2.56493930082864
0,3.27778892165982
1,2.5280455813606
0,0.465431087513239
0,2.87709125694735
0,-0.0705462810467897
1,0.392400052400987
1,1.70234892894575
1,1.03557797861803
0,2.45586050282427
1,0.648217234146526
1,0.185312308590912
0,2.32582556684479
0,0.216715441651653
1,1.92121080011039
1,0.180018298668896
0,1.15886149622459
1,0.201888896286426
0,2.55057354592108
1,1.87773992103873
1,2.52988483734238
0,1.49655102984029
0,2.50060495994105
0,2.19329230391902
1,1.59242468843458
0,2.06385142063275
1,2.29225637310302
0,2.8244290094401
0,2.54274823637707
1,0.599068272972306
0,2.18266102934049
1,0.474566198105104
0,2.92553125483517
1,1.50325786991141
0,2.6709557551299
1,2.27487841421895
0,2.72438579881745
1,2.72649242080616
1,2.6530586348333
0,1.88162804302521
1,-0.0278367933835106
0,2.08743667134173
1,1.56352334806032
0,2.13724562208718
1,1.06996794807119
1,1.92637752739521
0,2.40480006639651
0,2.42670069921216
1,2.05480051781395
0,2.25861129932018
1,0.191136698856546
1,0.0373119052577032
0,2.29480188804552
1,2.9151284643105
1,0.787133716546451
1,0.753406054126943
0,2.33203860769521
1,2.35493935410556
0,2.48897976830341
1,2.20950626097726
0,2.61096594575956
0,2.65402793918213
0,2.69970090373019
1,0.360719078861134
0,2.46881041897214
1,0.0403253659805938
0,2.7813243738102
0,2.0933810037169
0,2.35903735618335
1,-0.29585028153046
1,0.368243938771053
1,1.85690121743581
0,1.35473263168106
0,3.23222960862007
1,3.67509187007257
1,2.63967777431519
1,0.786469021026845
1,0.314441054614205
0,1.10616991185504
1,1.30885594922603
0,2.42147507957391
1,0.674409937760344
1,1.04321886327098
0,1.70853157378915
0,2.53750307401703
0,2.65922108730083
0,2.64531812732769
0,1.12295614235325
0,2.39285076382285
1,0.766541223137172
0,2.26822939827195
1,-0.236875014077495
1,0.148481015915775
1,2.4537859159864
0,2.02406456341127
1,1.05004814211632
0,2.63120738598211
0,1.77131144614576
0,2.6427161910671
0,2.60672256412333
1,1.53473453280825
1,-0.0666273078464951
1,2.51219814728143
0,2.11736988313065
0,2.41718090088664
1,1.35926899294861
0,1.11596683962826
1,-0.0462704283626561
1,0.676216141928906
1,1.74014393132769
0,2.83752990263872
1,0.772021686320055
1,2.67288878632907
1,2.56341635778283
0,2.85240837471978
0,1.22554663212267
1,1.55666555992518
0,2.93839058495048
0,1.27606388167272
0,2.53566482813094
1,0.436860632347494
0,2.57505953397599
1,0.72696735823858
1,2.46844720932414
1,-0.372936782323132
1,1.07401975462763
0,2.88295906999632
0,2.12370730055961
0,2.05729467005949
0,2.45768034575551
1,1.82569902071794
1,0.449301571416368
0,1.10242082336231
1,0.578116208732165
1,0.379081003018265
0,2.47043637329968
0,1.47927920375677
1,0.987299915132448
0,2.30349856927308
1,-0.360307646919083
1,0.152263013257412
0,2.80874778935406
0,3.08891655077724
1,1.59047651819058
1,0.203331197193253
0,2.32684214445564
0,2.31651297005268
0,2.15642373798827
1,-0.572947440745978
1,1.14813104439296
1,2.71836553679882
1,1.06025237402547
0,2.38594177403156
0,0.714446769354982
0,3.0112758862039
1,-0.0217525298817463
1,0.551177656659113
1,0.219607918541099
0,2.4021473253822
0,0.942995049423148
1,2.15643783831038
1,1.38364086131768
0,2.37356963166421
0,0.783281602251106
0,2.00751221763303
1,1.84981415872444
0,2.57485810543754
1,0.442085369185588
0,0.421287985356149
0,1.45685917199711
1,1.30861496482244
0,2.10839387411418
1,0.820954433337372
0,2.1571347809592
1,0.0503651118322901
0,1.61510168844213
1,2.65533853119866
1,-0.11349221524505
0,2.36427104035229
1,1.54762571630439
1,0.334473626737317
1,0.0422930539480817
1,0.0258996537236337
0,1.8776824025526
0,1.27732849751761
0,2.21734913355136
1,2.29531925806285
0,2.40122936127783
1,0.401727811907685
0,3.92360451941629
0,3.52162131888394
0,2.48304913426249
0,0.0577163351352021
1,0.382758883954276
1,2.39570209177475
1,-0.0770863018287252
0,2.38177169586945
1,0.340602502961042
1,1.98916151607102
0,2.10293814958106
0,2.31043613758556
